15062023	17:38:49	 78978c2e-1c7b-40e4-be53-7e1356a43a4f	 /new-page	 GET 
15062023	17:38:49	 a6581fac-351d-4d99-98a3-cd9c1079072f	 /04tut/css/styles.css	 GET 
15062023	17:39:03	 1b714da9-6d24-4970-9fba-853d9be9c22d	 /index	 GET 
15062023	17:39:03	 adea5b0d-580c-4da0-a408-e92e095203c6	 /04tut/css/styles.css	 GET 
15062023	17:39:09	 d3fb0e2a-01a3-41c5-bdf7-440c3f67e67d	 /isad	 GET 
15062023	17:39:09	 80bb7cc3-bcf1-436c-85f0-5b2cbfccd865	 /04tut/css/styles.css	 GET 
15062023	17:39:39	 351f918d-a87e-4c87-88c4-ad21cdb7ddfb	 //	 GET 
15062023	17:39:39	 a06e8b7d-816c-4222-91fb-b0a88010c786	 /04tut/css/styles.css	 GET 
15062023	17:39:45	 f3e9fdae-4c27-4afc-bbe6-5232b5d51705	 /subdir	 GET 
15062023	17:39:45	 4fd4ecca-5e64-48e4-ba4a-1060f8ec4130	 /04tut/css/styles.css	 GET 
15062023	17:39:49	 8cca76c8-360d-4599-acfe-4f03227c2ef5	 /subdir/	 GET 
15062023	20:15:51	 ad289ff5-5f57-4541-b71e-ab460f7c28fe	 /	 GET 
15062023	20:15:51	 83e936fe-4418-4ffe-841a-cf31d3298bb8	 /04tut/css/styles.css	 GET 
19062023	17:19:17	 8209d9ab-c187-4529-a1d8-da4cc85663f8	 /	 GET 
19062023	17:19:17	 80d83007-ef28-4c7a-bb77-b0261d27ae5e	 /04tut/css/styles.css	 GET 
19062023	17:19:17	 9623d9a9-3525-4a79-9976-b5c5a77dc136	 /favicon.ico	 GET 
19062023	17:19:20	 c901ae37-91ec-41d9-a16f-546929e5068f	 /	 GET 
19062023	17:19:20	 c0a0a1ff-eb8a-42e8-94ee-8d3c35fefbb3	 /04tut/css/styles.css	 GET 
19062023	17:19:27	 b4e62fbe-8cfb-4f9b-8402-31d805e68c3c	 /new-page	 GET 
19062023	17:19:27	 faddc7d4-286f-4e35-8b59-fd6de586cf8d	 /04tut/css/styles.css	 GET 
19062023	17:19:33	 9e47bcc0-500a-4f6e-b5bb-1b2009bae63e	 /old	 GET 
19062023	17:19:33	 a3b3ae08-5ee5-4bdd-8d5d-110b952cf74e	 /04tut/css/styles.css	 GET 
19062023	17:19:37	 b63aa1e4-3618-4c9e-bbe6-db09d606d76b	 /old-page	 GET 
19062023	17:19:37	 a1449b23-0a4c-46d2-b2d8-24a3c5447ec8	 /new-page.html	 GET 
19062023	17:19:37	 e6274a91-ef76-4494-8881-9a64781d4774	 /04tut/css/styles.css	 GET 
